PROB,LINK,NUM,OBSERVED,TRANTIME,AVGPROB,NDETECT
0.01,|('entry_micky', 'entry_micky')|,100,True,6.0,0.40000000000000002,1
0.01,|('entry_micky', 'entry_micky')|,100,True,7.0,0.33333333333333331,1
0.01,|('entry_micky', 'entry_micky')|,100,True,12.0,0.83333333333333337,3
0.01,|('entry_micky', 'entry_micky')|,100,True,13.0,1.0,1
0.01,|('entry_micky', 'entry_micky')|,100,True,14.0,0.59999999999999998,1
0.01,|('entry_micky', 'entry_micky')|,100,True,15.0,0.5,1
0.01,|('entry_micky', 'entry_micky')|,500,True,2.0,1.0,1
0.01,|('entry_micky', 'entry_micky')|,500,True,11.0,1.0,1
0.01,|('entry_micky', 'entry_micky')|,1000,True,12.0,1.0,1
0.01,|('entry_micky', 'entry_micky')|,1000,True,13.0,1.0,1
0.01,|('entry_micky', 'entry_micky')|,2000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'entry_micky')|,3000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'entry_micky')|,4000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'entry_micky')|,5000,False,0.0,0.0,0.0
0.01,|('entry_micky', 'exit_donald')|,100,True,2.0,0.39444444444444449,3
0.01,|('entry_micky', 'exit_donald')|,100,True,5.0,0.30622009569377995,2
0.01,|('entry_micky', 'exit_donald')|,100,True,6.0,0.28728070175438597,2
0.01,|('entry_micky', 'exit_donald')|,100,True,7.0,0.22807017543859648,2
0.01,|('entry_micky', 'exit_donald')|,100,True,8.0,0.46666666666666673,1
0.01,|('entry_micky', 'exit_donald')|,100,True,9.0,0.2614035087719298,2
0.01,|('entry_micky', 'exit_donald')|,100,True,10.0,0.35167464114832536,2
0.01,|('entry_micky', 'exit_donald')|,100,True,11.0,0.12280701754385966,1
0.01,|('entry_micky', 'exit_donald')|,100,True,12.0,0.24561403508771931,2
0.01,|('entry_micky', 'exit_donald')|,100,True,13.0,0.43333333333333335,2
0.01,|('entry_micky', 'exit_donald')|,100,True,14.0,1.0,1
0.01,|('entry_micky', 'exit_donald')|,100,True,15.0,1.0,1
0.01,|('entry_micky', 'exit_donald')|,500,True,2.0,0.76923076923076916,2
0.01,|('entry_micky', 'exit_donald')|,500,True,4.0,0.33333333333333331,1
0.01,|('entry_micky', 'exit_donald')|,500,True,5.0,0.48717948717948717,3
0.01,|('entry_micky', 'exit_donald')|,500,True,6.0,0.66666666666666663,2
